"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @EUCourtPress: #ECJ: #InterimMeasures Order - #Poland ordered to pay the @EU_Commission a daily € 500,000 fine due to its failing to end…",FALSE,0,NA,2021-09-22 18:13:51,FALSE,NA,"1440741147110899720",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Espelkamper",129,TRUE,FALSE,NA,NA
"RT @USGS: USGS and partners help understand when/where #bluewingedteal #ducks could transmit #avianflu to domestic #chicken and #turkey fac…",FALSE,0,NA,2021-09-22 18:13:05,FALSE,NA,"1440740950813249537",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nobleinfantry",6,TRUE,FALSE,NA,NA
"RT @LaNotaTucuman: 🌎#24S #Tucuman se suma a la movilización internacional contra el cambio climático

⚡El evento será este viernes 24 de se…",FALSE,0,NA,2021-09-22 18:12:58,FALSE,NA,"1440740923621609478",NA,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">The Green Bot</a>","IamtheGreeny",1,TRUE,FALSE,NA,NA
"RT @campdevoices: ""In order to fight climate change, we need new clear patterns that involve clean and renewable energy.""
Jeremy Atambo

Li…",FALSE,0,NA,2021-09-22 18:12:54,FALSE,NA,"1440740905040769028",NA,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">The Green Bot</a>","IamtheGreeny",2,TRUE,FALSE,NA,NA
"RT @moistule: OUT NOW! #NewMusic #NewAlbum 

The 2nd Moistule album:
******* GAMBOGE *******

A concept album about mankind's relationship…",FALSE,0,NA,2021-09-22 18:12:17,FALSE,NA,"1440740752263245825",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","moistule",16,TRUE,FALSE,NA,NA
"That gives the world some hope, at least! #environment https://t.co/hCrULO9rOl",FALSE,0,NA,2021-09-22 18:11:46,FALSE,NA,"1440740622940270595",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ThisIsS_M",0,FALSE,FALSE,NA,NA
"Original #vintage #poster of the day - Royal Enfield Bicycles (1950s) https://t.co/HADrTE3DXF

#RoyalEnfield #Bikes… https://t.co/owpb7q9uDa",FALSE,1,NA,2021-09-22 18:11:30,TRUE,NA,"1440740555357507590",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","AntikBar",1,FALSE,FALSE,NA,NA
"New Google training programme to help small businesses reduce their carbon emissions 🌍 Part of UK Gov’s Together Fo… https://t.co/5hAhPhWsaE",FALSE,0,NA,2021-09-22 18:11:17,TRUE,NA,"1440740499543838721",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","BizCouncilNorth",1,FALSE,FALSE,NA,NA
"RT @Begres_Kenya: Choosing an eco lodge can be quite difficult as many travellers are concerned with false advertising &amp; lodges claiming to…",FALSE,0,NA,2021-09-22 18:10:46,FALSE,NA,"1440740368371249157",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","kenedykamwilwa",3,TRUE,FALSE,NA,NA
"RT @KyminasiTech: Kyminasi Plant Booster can be adapted to any irrigation system!

Ask us how!
https://t.co/iETVmNBOYL

#HarvestHarmonics #…",FALSE,0,NA,2021-09-22 18:10:41,FALSE,NA,"1440740349744271368",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","maisabelfonseca",1,TRUE,FALSE,NA,NA
"Want to improve your shave? Come check out our shaving advice collection: 

https://t.co/eH9WivzJfy… https://t.co/oAm50lgCWt",FALSE,0,NA,2021-09-22 18:10:04,TRUE,NA,"1440740194303442955",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","ClearConfidence",0,FALSE,FALSE,NA,NA
